type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11
KC,kc-ccl,CCL,Competencia en comunicación lingüística,,,,,,,,,,,
KC,kc-stem,STEM,"Competencia Matemática y Competencia en Ciencia, Tecnología e Ingeniería",,,,,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,,,,,
KC,kc-cpsaa,CPSAA,"Competencia Personal, Social y de Aprender a Aprender",,,,,,,,,,,
KC,kc-cc,CC,Competencia ciudadana,,,,,,,,,,,
OD,od-ccl1,CCL1,"Se expresa de forma oral, escrita, signada o multimodal con coherencia, corrección y adecuación a los diferentes contextos sociales, y participa en interacciones comunicativas con actitud cooperativa y respetuosa tanto para intercambiar información, crear conocimiento y transmitir opiniones, como para construir vínculos personales.",kc-ccl,,,,,,,,,,
OD,od-ccl2,CCL2,"Comprende, interpreta y valora con actitud crítica textos orales, escritos, signados o multimodales de los ámbitos personal, social, educativo y profesional para participar en diferentes contextos de manera activa e informada y para construir conocimiento.",kc-ccl,,,,,,,,,,
OD,od-ccl3,CCL3,"Localiza, selecciona y contrasta de manera progresivamente autónoma información procedente de diferentes fuentes, evaluando su fiabilidad y pertinencia en función de los objetivos de lectura y evitando los riesgos de manipulación y desinformación, y la integra y transforma en conocimiento para comunicarla adoptando un punto de vista creativo, crítico y personal a la par que respetuoso con la propiedad intelectual.",kc-ccl,,,,,,,,,,
OD,od-stem1,STEM1,"Utiliza métodos inductivos y deductivos propios del razonamiento matemático en situaciones conocidas, y selecciona y emplea diferentes estrategias para resolver problemas analizando críticamente las soluciones y reformulando el procedimiento, si fuera necesario.",kc-stem,,,,,,,,,,
OD,od-stem4,STEM4,"Interpreta y transmite los elementos más relevantes de procesos, razonamientos, demostraciones, métodos y resultados científicos, matemáticos y tecnológicos de forma clara y precisa y en diferentes formatos (gráficos, tablas, diagramas, fórmulas, esquemas, símbolos...), aprovechando de forma crítica la cultura digital e incluyendo el lenguaje matemático-formal con ética y responsabilidad, para compartir y construir nuevos conocimientos.",kc-stem,,,,,,,,,,
OD,od-cpsaa1,CPSAA1,"Regula y expresa sus emociones, fortaleciendo el optimismo, la resiliencia, la autoeficacia y la búsqueda de propósito y motivación hacia el aprendizaje, para gestionar los retos y cambios y armonizarlos con sus propios objetivos.",kc-cpsaa,,,,,,,,,,
OD,od-cpsaa4,CPSAA4,"Realiza autoevaluaciones sobre su proceso de aprendizaje, buscando fuentes fiables para validar, sustentar y contrastar la información y para obtener conclusiones relevantes.",kc-cpsaa,,,,,,,,,,
OD,od-cpsaa3,CPSAA3,"Comprende proactivamente las perspectivas y las experiencias de las demás personas y las incorpora a su aprendizaje, para participar en el trabajo en grupo, distribuyendo y aceptando tareas y responsabilidades de manera equitativa y empleando estrategias cooperativas.",kc-cpsaa,,,,,,,,,,
OD,od-cc1,CC1,"Analiza y comprende ideas relativas a la dimensión social y ciudadana de su propia identidad, así como a los hechos culturales, históricos y normativos que la determinan, demostrando respeto por las normas, empatía, equidad y espíritu constructivo en la interacción con los demás en cualquier contexto.",kc-cc,,,,,,,,,,
