type,id,code,description,link1,link2,link3,link4,link5,link6
OD,od-cpsaa3.2,CPSAA3.2,"Distribuye en un grupo las tareas, recursos y responsabilidades de manera ecuánime, según sus objetivos, favoreciendo un enfoque sistémico para contribuir a la consecución de objetivos compartidos.",kc-cpsaa,,,,,
OD,od-ccl5,CCL5,"Pone sus prácticas comunicativas al servicio de la convivencia democrática, la resolución dialogada de los conflictos y la igualdad de derechos de todas las personas, evitando y rechazando los usos discriminatorios, así como los abusos de poder, para favorecer la utilización no solo eficaz sino también ética de los diferentes sistemas de comunicación.",kc-ccl,,,,,
OD,od-cpsaa2,CPSAA2,"Adopta de forma autónoma un estilo de vida sostenible y atiende al bienestar físico y mental propio y de otras personas, buscando y ofreciendo apoyo en la sociedad para construir un mundo más saludable.",kc-cpsaa,,,,,
OD,od-cc1,CC1,"Analiza hechos, normas e ideas relativas a la dimensión social, histórica, cívica y moral de su propia identidad, para contribuir a la consolidación de su madurez personal y social, adquirir una conciencia ciudadana y responsable, desarrollar la autonomía y el espíritu crítico, y establecer una interacción pacífica y respetuosa con otras personas y con el entorno.",kc-cc,,,,,
OD,od-cc3,CC3,"Adopta un juicio propio y argumentado ante problemas éticos y filosóficos fundamentales y de actualidad, afrontando con actitud dialogante la pluralidad de valores, creencias e ideas, rechazando todo tipo de discriminación y violencia, y promoviendo activamente la igualdad y corresponsabilidad efectiva entre mujeres y hombres.",kc-cc,,,,,
OD,od-ccec2,CCEC2,"Investiga las especificidades e intencionalidades de diversas manifestaciones artísticas y culturales del patrimonio, mediante una postura de recepción activa y deleite, diferenciando y analizando los distintos contextos, medios y soportes en que se materializan, así como los lenguajes y elementos técnicos y estéticos que las caracterizan.",kc-ccec,,,,,
OD,od-stem5,STEM5,"Planea y emprende acciones fundamentadas científicamente para promover la salud física y mental, y preservar el medio ambiente y los seres vivos, practicando el consumo responsable, aplicando principios de ética y seguridad para crear valor y transformar su entorno de forma sostenible adquiriendo compromisos como ciudadano en el ámbito local y global.",kc-stem,,,,,
OD,od-cc2,CC2,"Reconoce, analiza y aplica en diversos contextos, de forma crítica y consecuente, los principios, ideales y valores relativos al proceso de integración europea, la Constitución Española, los derechos humanos, y la historia y el patrimonio cultural propios, a la vez que participa en todo tipo de actividades grupales con una actitud fundamentada en los principios y procedimientos democráticos, el compromiso ético con la igualdad, la cohesión social, el desarrollo sostenible y el logro de la ciudadanía mundial.",kc-cc,,,,,
SC,sc-psoc2-1,CEs 1,"Reconocer la especificidad e importancia del conocimiento psicológico como una ciencia que trata de la conducta y los procesos mentales y sociales tanto del grupo como del individuo, buscando información en diversas fuentes para describir la diversidad de los problemas que son propios de una disciplina como la Psicología.",od-ccl2,od-ccl3,od-stem2,od-cpsaa5,od-ce2,
SC,sc-psoc2-2,CEs 2,"Comprender las bases biológicas que fundamentan la conducta humana, identificando y analizando los principales componentes y funciones del cerebro y de los demás elementos del sistema nervioso desde el marco de los actuales conocimientos de la ciencia, para obtener una visión general que le permita rebatir científicamente la discriminación en todas sus formas y manifestaciones.",od-ccl2,od-ccl3,od-stem2,od-stem3,od-cpsaa3.1,od-cd1
SC,sc-psoc2-3,CEs 3,"Explicar y distinguir los principales procesos cognitivos humanos, identificando y analizando sus principales elementos y procesos, para entender la manera en que se desarrolla el aprendizaje y se construye el conocimiento de la realidad.",od-cpsaa4,od-cpsaa3.2,od-stem2,od-stem3,od-cd1,od-ce2
SC,sc-psoc2-4,CEs 4,"Examinar y comprender adecuadamente el funcionamiento psicológico propio y el ajeno, investigando los elementos cognitivos, emocionales y conductuales que conforman la estructura de la personalidad humana, para mejorar la evaluación de las diversas conductas, emociones y actitudes y ser capaces de asumir las consecuencias de los actos.",od-ccl5,od-cd1,od-ce2,od-cpsaa2,od-cc1,
SC,sc-psoc2-5,CEs 5,"Identificar y comprender la dimensión social del ser humano y entender el proceso de socialización como la interiorización de las normas y valores sociales predominantes, reconociendo la influencia que sobre la personalidad y la conducta del individuo ejercen aspectos del mismo como la socialización diferenciada a fin de ser capaz de examinar críticamente estereotipos, roles, valores y normas, así como los diferentes tipos de conflictos sociales y valorar su importancia.",od-ccl5,od-cpsaa3.1,od-cpsaa4,od-cc1,od-cc3,od-ccec2
SC,sc-psoc2-6,CEs 6,"Examinar e identificar la dinámica del poder, tanto a nivel social como político, y reconocer los principales retos a los que se enfrenta la ciudadanía del siglo XXI, distinguiendo y formulando conceptos como poder, autoridad o globalización, y analizando los diversos tipos de instituciones y organismos sociales (estatales, supra-estatales o post-estatales), para entender la manera en que funcionan las sociedades actuales y participar activamente en los diversos ámbitos de la vida pública, como ciudadanos y ciudadanas responsables.",od-ccl5,od-stem5,od-cpsaa5,od-cc1,od-cc2,od-ce2
EC,ec-psoc2-1.1,1.1,"Reconocer la especificidad e importancia de la Psicología como una ciencia que trata de la conducta y los procesos mentales y sociales tanto individuales como grupales, valorando el hecho de que se trata de un saber que estimula actitudes como la crítica, la autonomía, la investigación y la innovación a través de tareas como la identificación de fuentes fiables o la búsqueda eficiente y segura de información, así como su correcta organización, análisis, interpretación, evaluación, producción y comunicación.",,,,,,
EC,ec-psoc2-2.1,2.1,"Demostrar un conocimiento básico de la evolución del cerebro humano a través de tareas como la identificación de fuentes fiables, la búsqueda eficiente y segura de información, y su correcta organización, análisis, interpretación, evaluación, producción y comunicación.",,,,,,
EC,ec-psoc2-2.2,2.2,"Analizar y apreciar la importancia de la organización del sistema nervioso, fundamentalmente del encéfalo humano, distinguiendo las diferentes localizaciones y funciones que determinan la conducta de los individuos.",,,,,,
EC,ec-psoc2-2.3,2.3,"Comprender y distinguir algunas de las bases genéticas que determinan la conducta humana, apreciando la relación de causa y efecto que puede existir entre ellas, y reconociendo el origen de algunas enfermedades producidas por alteraciones genéticas.",,,,,,
EC,ec-psoc2-3.1,3.1,"Identificar la percepción humana como un proceso constructivo eminentemente subjetivo y limitado, en el cual tiene su origen el conocimiento sobre la realidad.",,,,,,
EC,ec-psoc2-3.2,3.2,"Conocer y analizar la estructura, tipos y funcionamiento de la memoria humana, investigando las contribuciones de algunas teorías actuales con el fin de entender su origen y los factores que influyen en el desarrollo de esta capacidad en el ser humano, y utilizar sus aportaciones en su propio aprendizaje.",,,,,,
EC,ec-psoc2-3.3,3.3,"Reconocer, analizar y describir los factores que influyen en el aprendizaje, comparando las contribuciones de las diversas teorías sobre el mismo, a fin de identificar su funcionamiento y utilizar sus aportaciones en su propio proceso formativo.",,,,,,
EC,ec-psoc2-3.4,3.4,"Explicar y apreciar la relevancia que tienen las influencias individuales y sociales en fenómenos como la percepción, el aprendizaje o la inteligencia, evaluando críticamente tanto sus aspectos positivos como negativos.",,,,,,
EC,ec-psoc2-4.1,4.1,"Analizar e identificar los diversos aspectos que conforman la estructura de la personalidad humana, tanto los cognitivos como los conductuales y emocionales.",,,,,,
EC,ec-psoc2-4.2,4.2,"Comprender el funcionamiento psicológico tanto propio como ajeno, para valorar adecuadamente la diversidad de conductas, emociones y actitudes humanas, y ser capaces de asumir las consecuencias de los actos.",,,,,,
EC,ec-psoc2-5.1,5.1,"Comprender y apreciar la dimensión social del ser humano y entender el proceso de socialización como la interiorización de las normas y valores sociales, apreciando su influencia en la personalidad y conducta de las personas.",,,,,,
EC,ec-psoc2-5.2,5.2,"Reconocer y examinar críticamente estereotipos, roles, valores y normas, así como la socialización diferenciada en función del sexo identificando la importancia de los sesgos en el procesamiento de la información y su impacto en nuestra percepción social.",,,,,,
EC,ec-psoc2-5.3,5.3,"Comprender al ser humano y sus sociedades, analizando las causas y tipos de conflictos que surgen en ellas, reflexionado de manera crítica a partir del conocimiento que proporcionan las ciencias humanas y sociales, y valorando las soluciones pacíficas a los mismos.",,,,,,
EC,ec-psoc2-5.4,5.4,"Apoyar la construcción de una sociedad más justa y equilibrada, estimando la necesidad de mantener una actitud de respeto y valoración a las personas que evite todo tipo de prejuicios.",,,,,,
EC,ec-psoc2-6.1,6.1,"Conocer y valorar los procesos de formación y aceptación del poder, su naturaleza, características y dinámica, con el fin entender el funcionamiento de las sociedades y los grupos sociales.",,,,,,
EC,ec-psoc2-6.2,6.2,"Analizar los diversos tipos de instituciones y organismos sociales, valorando su evolución tanto social como histórica, e identificando la manera en que dichos organismos se están transformando en otro tipo de organizaciones supra o post estatales.",,,,,,
EC,ec-psoc2-6.3,6.3,"Investigar fenómenos como los problemas ecológicos o la globalización económica y cultural, señalando sus consecuencias sobre la vida individual y comunitaria de las generaciones actuales y futuras, y proponer proyectos con acciones y actitudes encaminadas a mejorar la convivencia y el bienestar general de las personas.",,,,,,
SB,sb-psoc2-a1,A.1,Qué estudia la Psicología: concepto y objetivos de la Psicología; las técnicas de investigación en Psicología.,,,,,,
SB,sb-psoc2-a2,A.2,Breve evolución histórica de la Psicología: principales orientaciones y escuelas de Psicología.,,,,,,
SB,sb-psoc2-a3,A.3,La perspectiva sociológica en la Psicología: la Psicología social. Principales métodos de investigación.,,,,,,
SB,sb-psoc2-a4,A.4,Fundamentos biológicos de la conducta: el sistema nervioso; el impulso nervioso; el sistema endocrino y la conducta humana. Métodos de exploración cerebral.,,,,,,
SB,sb-psoc2-b1,B.1,Procesos cognitivos básicos: sensación y percepción; factores individuales y sociales que influyen en la percepción; la atención; la memoria y sus tipos.,,,,,,
SB,sb-psoc2-b2,B.2,"Procesos cognitivos superiores: el aprendizaje y los factores que influyen en él; el concepto de inteligencia desde las neurociencias; pensamiento, razonamiento y creatividad.",,,,,,
SB,sb-psoc2-b3,B.3,La personalidad: definición y principales teorías. Su evaluación. Trastornos de personalidad.,,,,,,
SB,sb-psoc2-c1,C.1,"La sociedad, evolución y tipos. El proceso de socialización. Roles, normas y sistemas sociales.",,,,,,
SB,sb-psoc2-c2,C.2,"Conflicto y cambio social. Influencias sociales y dinámica de grupos. Poder y autoridad. Análisis de las masas: coacción, polarización y minorías.",,,,,,
SB,sb-psoc2-c3,C.3,Identidad y socialización de género. Patriarcado y sexismo. El Feminismo como movimiento social y como análisis filosófico.,,,,,,
SB,sb-psoc2-c4,C.4,Las sociedades del siglo XXI: el medio ambiente; ecología y futuro sostenible; la globalización; organizaciones no estatales.,,,,,,
BB,bb-psoc2-a,A,La Psicología como ciencia,,,,,,
BB,bb-psoc2-b,B,La Psicología y la persona,,,,,,
BB,bb-psoc2-c,C,La Psicología social,,,,,,
