type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9
OD,od-cc3,CC3,"Comprende y analiza problemas éticos fundamentales y de actualidad, considerando críticamente los valores propios y ajenos, y desarrollando juicios propios para afrontar la controversia moral con actitud dialogante, argumentativa, respetuosa y opuesta a cualquier tipo de discriminación o violencia.",kc-cc,,,,,,,,
OD,od-ccl1,CCL1,"Se expresa de forma oral, escrita, signada o multimodal con coherencia, corrección y adecuación a los diferentes contextos sociales, y participa en interacciones comunicativas con actitud cooperativa y respetuosa tanto para intercambiar información, crear conocimiento y transmitir opiniones, como para construir vínculos personales.",kc-ccl,,,,,,,,
OD,od-cd1,CD1,"Realiza búsquedas en Internet atendiendo a criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y archivándolos, para recuperarlos, referenciarlos y reutilizarlos, respetando la propiedad intelectual.",kc-cd,,,,,,,,
OD,od-cd5,CD5,"Desarrolla aplicaciones informáticas sencillas y soluciones tecnológicas creativas y sostenibles para resolver problemas concretos o responder a retos propuestos, mostrando interés y curiosidad por la evolución de las tecnologías digitales y por su desarrollo sostenible y uso ético.",kc-cd,,,,,,,,
OD,od-cd3,CD3,"Se comunica, participa, colabora e interactúa compartiendo contenidos, datos e información mediante herramientas o plataformas virtuales, y gestiona de manera responsable sus acciones, presencia y visibilidad en la red, para ejercer una ciudadanía digital activa, cívica y reflexiva.",kc-cd,,,,,,,,
OD,od-ccec1,CCEC1,"Conoce, aprecia críticamente y respeta el patrimonio cultural y artístico, implicándose en su conservación y valorando el enriquecimiento inherente a la diversidad cultural y artística.",kc-ccec,,,,,,,,
OD,od-cc4,CC4,"Comprende las relaciones sistémicas de interdependencia, ecodependencia e interconexión entre actuaciones locales y globales, y adopta, de forma consciente y motivada, un estilo de vida sostenible y ecosocialmente responsable.",kc-cc,,,,,,,,
OD,od-ce2,CE2,"Evalúa las fortalezas y debilidades propias, haciendo uso de estrategias de autoconocimiento y autoeficacia, y comprende los elementos fundamentales de la economía y las finanzas, aplicando conocimientos económicos y financieros a actividades y situaciones concretas, utilizando destrezas que favorezcan el trabajo colaborativo y en equipo, para reunir y optimizar los recursos necesarios que lleven a la acción una experiencia emprendedora que genere valor.",kc-ce,,,,,,,,
OD,od-ccl3,CCL3,"Localiza, selecciona y contrasta de manera progresivamente autónoma información procedente de diferentes fuentes, evaluando su fiabilidad y pertinencia en función de los objetivos de lectura y evitando los riesgos de manipulación y desinformación, y la integra y transforma en conocimiento para comunicarla adoptando un punto de vista creativo, crítico y personal a la par que respetuoso con la propiedad intelectual.",kc-ccl,,,,,,,,
OD,od-cp1,CP1,"Usa eficazmente una o más lenguas, además de la lengua o lenguas familiares, para responder a sus necesidades comunicativas, de manera apropiada y adecuada tanto a su desarrollo e intereses como a diferentes situaciones y contextos de los ámbitos personal, social, educativo y profesional.",kc-cp,,,,,,,,
OD,od-ccec3,CCEC3,"Expresa ideas, opiniones, sentimientos y emociones por medio de producciones culturales y artísticas, integrando su propio cuerpo y desarrollando la autoestima, la creatividad y el sentido del lugar que ocupa en la sociedad, con una actitud empática, abierta y colaborativa.",kc-ccec,,,,,,,,
OD,od-stem5,STEM5,"Emprende acciones fundamentadas científicamente para promover la salud física, mental y social, y preservar el medio ambiente y los seres vivos; y aplica principios de ética y seguridad en la realización de proyectos para transformar su entorno próximo de forma sostenible, valorando su impacto global y practicando el consumo responsable.",kc-stem,,,,,,,,
OD,od-cpsaa1,CPSAA1,"Regula y expresa sus emociones, fortaleciendo el optimismo, la resiliencia, la autoeficacia y la búsqueda de propósito y motivación hacia el aprendizaje, para gestionar los retos y cambios y armonizarlos con sus propios objetivos.",kc-cpsaa,,,,,,,,
OD,od-ccl5,CCL5,"Pone sus prácticas comunicativas al servicio de la convivencia democrática, la resolución dialogada de los conflictos y la igualdad de derechos de todas las personas, evitando los usos discriminatorios, así como los abusos de poder, para favorecer la utilización no solo eficaz sino también ética de los diferentes sistemas de comunicación.",kc-ccl,,,,,,,,
OD,od-cp3,CP3,"Conoce, valora y respeta la diversidad lingüística y cultural presente en la sociedad, integrándola en su desarrollo personal como factor de diálogo, para fomentar la cohesión social.",kc-cp,,,,,,,,
OD,od-cpsaa3,CPSAA3,"Comprende proactivamente las perspectivas y las experiencias de las demás personas y las incorpora a su aprendizaje, para participar en el trabajo en grupo, distribuyendo y aceptando tareas y responsabilidades de manera equitativa y empleando estrategias cooperativas.",kc-cpsaa,,,,,,,,
OD,od-cc2,CC2,"Analiza y asume fundadamente los principios y valores que emanan del proceso de integración europea, la Constitución española y los derechos humanos y de la infancia, participando en actividades comunitarias, como la toma de decisiones o la resolución de conflictos, con actitud democrática, respeto por la diversidad, y compromiso con la igualdad de género, la cohesión social, el desarrollo sostenible y el logro de la ciudadanía mundial.",kc-cc,,,,,,,,
SC,sc-mat4a-1,CEs 1,"Interpretar, modelizar y resolver problemas de la vida cotidiana propios de las matemáticas aplicando diferentes estrategias y formas de razonamiento para explorar distintas maneras de proceder y obtener posibles soluciones.",od-stem1,od-stem2,od-stem3,od-stem4,od-cd2,od-cpsaa5,od-ce3,od-ccec4,
SC,sc-mat4a-2,CEs 2,"Analizar las soluciones de un problema usando diferentes técnicas y herramientas, evaluando las respuestas obtenidas, para verificar su validez e idoneidad desde un punto de vista matemático y su repercusión global.",od-stem1,od-stem2,od-cd2,od-cpsaa4,od-cc3,od-ce3,,,
SC,sc-mat4a-3,CEs 3,"Formular y comprobar conjeturas sencillas o plantear problemas de forma autónoma, reconociendo el valor del razonamiento y la argumentación para generar nuevo conocimiento.",od-ccl1,od-stem1,od-stem2,od-cd1,od-cd2,od-cd5,od-ce3,,
SC,sc-mat4a-4,CEs 4,"Utilizar los principios del pensamiento computacional organizando datos, descomponiendo en partes, reconociendo patrones, interpretando, modificando y creando algoritmos para modelizar situaciones y resolver problemas de forma eficaz.",od-stem1,od-stem2,od-stem3,od-cd2,od-cd3,od-cd5,od-ce3,,
SC,sc-mat4a-5,CEs 5,Reconocer y utilizar conexiones entre los diferentes elementos matemáticos interconectando conceptos y procedimientos para desarrollar una visión de las matemáticas como un todo integrado.,od-stem1,od-stem3,od-cd2,od-cd3,od-ccec1,,,,
SC,sc-mat4a-6,CEs 6,"Identificar las matemáticas implicadas en otras materias y en situaciones reales, susceptibles de ser abordadas en términos matemáticos, interrelacionando conceptos y procedimientos para aplicarlos en situaciones diversas.",od-stem1,od-stem3,od-cd3,od-cd5,od-cc4,od-ce2,od-ce3,od-ccec1,
SC,sc-mat4a-7,CEs 7,"Representar, de forma individual y colectiva, conceptos, procedimientos, información y resultados matemáticos usando diferentes tecnologías, para visualizar ideas y estructurar procesos matemáticos.",od-stem3,od-cd1,od-cd2,od-cd5,od-ce3,od-ccec4,,,
SC,sc-mat4a-8,CEs 8,"Comunicar de forma individual y colectiva conceptos, procedimientos y argumentos matemáticos usando lenguaje oral, escrito o gráfico, utilizando la terminología matemática apropiada, para dar significado y coherencia a las ideas matemáticas.",od-ccl1,od-ccl3,od-cp1,od-stem2,od-stem4,od-cd2,od-cd3,od-ce3,od-ccec3
SC,sc-mat4a-9,CEs 9,"Desarrollar destrezas personales, identificando y gestionando emociones, poniendo en práctica estrategias de aceptación del error como parte del proceso de aprendizaje y adaptándose ante situaciones de incertidumbre, para mejorar la perseverancia en la consecución de objetivos y el disfrute en el aprendizaje de las matemáticas.",od-stem5,od-cpsaa1,od-cpsaa4,od-cpsaa5,od-ce2,od-ce3,,,
SC,sc-mat4a-10,CEs 10,"Desarrollar destrezas sociales reconociendo y respetando las emociones y experiencias ajenas, participando activa y reflexivamente en proyectos en equipos heterogéneos con roles asignados para construir una identidad positiva como estudiante de matemáticas, fomentar el bienestar personal y grupal y crear relaciones saludables.",od-ccl5,od-cp3,od-stem3,od-cpsaa1,od-cpsaa3,od-cc2,od-cc3,,
EC,ec-mat4a-1.1,1.1,"Reformular problemas matemáticos de forma verbal y gráfica, interpretando los datos, las relaciones entre ellos y las preguntas planteadas.",,,,,,,,,
EC,ec-mat4a-1.2,1.2,Seleccionar herramientas y estrategias elaboradas valorando su eficacia e idoneidad en la resolución de problemas.,,,,,,,,,
EC,ec-mat4a-1.3,1.3,Obtener todas las soluciones matemáticas de un problema movilizando los conocimientos necesarios.,,,,,,,,,
EC,ec-mat4a-2.1,2.1,Comprobar la corrección matemática de las soluciones de un problema.,,,,,,,,,
EC,ec-mat4a-2.2,2.2,"Seleccionar las soluciones óptimas de un problema valorando tanto la corrección matemática como sus implicaciones desde diferentes perspectivas (de género, de sostenibilidad, de consumo responsable...).",,,,,,,,,
EC,ec-mat4a-3.1,3.1,"Formular, comprobar e investigar conjeturas de forma guiada estudiando patrones, propiedades y relaciones.",,,,,,,,,
EC,ec-mat4a-3.2,3.2,"Crear variantes de un problema dado, modificando alguno de sus datos y observando la relación entre los diferentes resultados obtenidos.",,,,,,,,,
EC,ec-mat4a-3.3,3.3,Emplear herramientas tecnológicas adecuadas en la investigación y comprobación de conjeturas o problemas.,,,,,,,,,
EC,ec-mat4a-4.1,4.1,"Reconocer e investigar patrones, organizar datos y descomponer un problema en partes más simples facilitando su interpretación y su tratamiento computacional.",,,,,,,,,
EC,ec-mat4a-4.2,4.2,"Modelizar situaciones y resolver problemas de forma eficaz interpretando, modificando y creando algoritmos sencillos.",,,,,,,,,
EC,ec-mat4a-5.1,5.1,"Deducir relaciones entre los conocimientos y experiencias matemáticas, formando un todo coherente.",,,,,,,,,
EC,ec-mat4a-5.2,5.2,Analizar y poner en práctica conexiones entre diferentes procesos matemáticos aplicando conocimientos y experiencias previas.,,,,,,,,,
EC,ec-mat4a-6.1,6.1,"Proponer situaciones susceptibles de ser formuladas y resueltas mediante herramientas y estrategias matemáticas, estableciendo y aplicando conexiones entre el mundo real y las matemáticas, y usando los procesos inherentes a la investigación científica y matemática: inferir, medir, comunicar, clasificar y predecir.",,,,,,,,,
EC,ec-mat4a-6.2,6.2,Identificar y aplicar conexiones coherentes entre las matemáticas y otras materias realizando un análisis crítico.,,,,,,,,,
EC,ec-mat4a-6.3,6.3,Valorar la aportación de las matemáticas al progreso de la humanidad y su contribución a la superación de los retos que demanda la sociedad actual.,,,,,,,,,
EC,ec-mat4a-7.1,7.1,"Representar matemáticamente la información más relevante de un problema, conceptos, procedimientos y resultados matemáticos visualizando ideas y estructurando procesos matemáticos.",,,,,,,,,
EC,ec-mat4a-7.2,7.2,"Seleccionar entre diferentes herramientas, incluidas las digitales, y formas de representación (pictórica, gráfica, verbal o simbólica) valorando su utilidad para compartir información.",,,,,,,,,
EC,ec-mat4a-8.1,8.1,"Comunicar ideas, conclusiones, conjeturas y razonamientos matemáticos, utilizando diferentes medios, incluidos los digitales, con coherencia, claridad y terminología apropiada.",,,,,,,,,
EC,ec-mat4a-8.2,8.2,Reconocer y emplear el lenguaje matemático presente en la vida cotidiana y en diversos contextos comunicando mensajes con contenido matemático con precisión y rigor.,,,,,,,,,
EC,ec-mat4a-9.1,9.1,Identificar y gestionar las emociones propias y desarrollar el autoconcepto matemático generando expectativas positivas ante nuevos retos matemáticos.,,,,,,,,,
EC,ec-mat4a-9.2,9.2,Mostrar una actitud positiva y perseverante al hacer frente a las diferentes situaciones de aprendizaje de las matemáticas aceptando la crítica razonada.,,,,,,,,,
EC,ec-mat4a-10.1,10.1,"Colaborar activamente y construir relaciones trabajando con las matemáticas en equipos heterogéneos, respetando diferentes opiniones, comunicándose de manera efectiva, pensando de forma crítica y creativa, tomando decisiones y realizando juicios informados.",,,,,,,,,
EC,ec-mat4a-10.2,10.2,"Gestionar el reparto de tareas en el trabajo en equipo, aportando valor, favoreciendo la inclusión, la escucha activa, responsabilizándose del rol asignado y de la propia contribución al equipo.",,,,,,,,,
SB,sb-mat4a-a1,A.1,Resolución de situaciones y problemas de la vida cotidiana: estrategias para el recuento sistemático.,,,,,,,,,
SB,sb-mat4a-a2,A.2,Realización de estimaciones en diversos contextos analizando y acotando el error cometido.,,,,,,,,,
SB,sb-mat4a-a3,A.3,Expresión de cantidades mediante números reales con la precisión requerida.,,,,,,,,,
SB,sb-mat4a-a4,A.4,"Los conjuntos numéricos como forma de responder a diferentes necesidades: contar, medir, comparar, etc.",,,,,,,,,
SB,sb-mat4a-a5,A.5,Operaciones con números reales en la resolución de situaciones contextualizadas.,,,,,,,,,
SB,sb-mat4a-a6,A.6,"Propiedades de las operaciones aritméticas: cálculos con números reales, incluyendo el uso de herramientas digitales.",,,,,,,,,
SB,sb-mat4a-a7,A.7,Algunos números irracionales en situaciones de la vida cotidiana.,,,,,,,,,
SB,sb-mat4a-a8,A.8,Patrones y regularidades numéricas en las que intervengan números reales.,,,,,,,,,
SB,sb-mat4a-a9,A.9,Orden en la recta numérica. Intervalos.,,,,,,,,,
SB,sb-mat4a-a10,A.10,Situaciones de proporcionalidad directa e inversa en diferentes contextos: desarrollo y análisis de métodos para la resolución de problemas.,,,,,,,,,
SB,sb-mat4a-a11,A.11,"Métodos de resolución de problemas relacionados con aumentos y disminuciones porcentuales, intereses y tasas en contextos financieros.",,,,,,,,,
SB,sb-mat4a-b1,B.1,La pendiente y su relación con un ángulo en situaciones sencillas: deducción y aplicación.,,,,,,,,,
SB,sb-mat4a-b2,B.2,"Estudio gráfico del crecimiento y decrecimiento de funciones en contextos de la vida cotidiana con el apoyo de herramientas tecnológicas: tasas de variación absoluta, relativa y media.",,,,,,,,,
SB,sb-mat4a-c1,C.1,Propiedades geométricas de objetos de la vida cotidiana: investigación con programas de geometría dinámica.,,,,,,,,,
SB,sb-mat4a-c2,C.2,Transformaciones elementales en la vida cotidiana: investigación con programas de geometría dinámica.,,,,,,,,,
SB,sb-mat4a-c3,C.3,Modelos geométricos: representación y explicación de relaciones numéricas y algebraicas en situaciones diversas.,,,,,,,,,
SB,sb-mat4a-c4,C.4,"Modelización de elementos geométricos de la vida cotidiana con herramientas tecnológicas como programas de geometría dinámica, realidad aumentada, etc.",,,,,,,,,
SB,sb-mat4a-c5,C.5,Elaboración y comprobación de conjeturas sobre propiedades geométricas mediante programas de geometría dinámica u otras herramientas.,,,,,,,,,
SB,sb-mat4a-d1,D.1,"Patrones, pautas y regularidades: observación, generalización y término general en casos sencillos.",,,,,,,,,
SB,sb-mat4a-d2,D.2,"Modelización y resolución de problemas de la vida cotidiana mediante representaciones matemáticas y lenguaje algebraico, haciendo uso de distintos tipos de funciones.",,,,,,,,,
SB,sb-mat4a-d3,D.3,Estrategias de deducción y análisis de conclusiones razonables de una situación de la vida cotidiana a partir de un modelo.,,,,,,,,,
SB,sb-mat4a-d4,D.4,Variables: asociación de expresiones simbólicas al contexto del problema y diferentes usos.,,,,,,,,,
SB,sb-mat4a-d5,D.5,Características del cambio en la representación gráfica de relaciones lineales y cuadráticas.,,,,,,,,,
SB,sb-mat4a-d6,D.6,"Relaciones lineales, cuadráticas y de proporcionalidad inversa en situaciones de la vida cotidiana o matemáticamente relevantes: expresión mediante álgebra simbólica.",,,,,,,,,
SB,sb-mat4a-d7,D.7,"Formas equivalentes de expresiones algebraicas en la resolución de ecuaciones lineales y cuadráticas, y sistemas de ecuaciones e inecuaciones lineales.",,,,,,,,,
SB,sb-mat4a-d8,D.8,Estrategias de discusión y búsqueda de soluciones en ecuaciones lineales y cuadráticas en situaciones de la vida cotidiana.,,,,,,,,,
SB,sb-mat4a-d9,D.9,"Ecuaciones, sistemas de ecuaciones e inecuaciones: resolución mediante el uso de la tecnología.",,,,,,,,,
SB,sb-mat4a-d10,D.10,Relaciones cuantitativas en situaciones de la vida cotidiana y clases de funciones que las modelizan.,,,,,,,,,
SB,sb-mat4a-d11,D.11,"Relaciones lineales y no lineales: identificación y comparación de diferentes modos de representación, tablas, gráficas o expresiones algebraicas, y sus propiedades a partir de ellas.",,,,,,,,,
SB,sb-mat4a-d12,D.12,Representación de funciones: interpretación de sus propiedades en situaciones de la vida cotidiana.,,,,,,,,,
SB,sb-mat4a-d13,D.13,"Resolución de problemas mediante la descomposición en partes, la automatización y el pensamiento algorítmico.",,,,,,,,,
SB,sb-mat4a-d14,D.14,"Estrategias en la interpretación, modificación y creación de algoritmos..",,,,,,,,,
SB,sb-mat4a-d15,D.15,Formulación y análisis de problemas de la vida cotidiana mediante programas y otras herramientas.,,,,,,,,,
SB,sb-mat4a-e1,E.1,Estrategias de recogida y organización de datos de situaciones de la vida cotidiana que involucren una variable bidimensional. Tablas de contingencia.,,,,,,,,,
SB,sb-mat4a-e2,E.2,"Análisis e interpretación de tablas y gráficos estadísticos de una y dos variables cualitativas, cuantitativas discretas y cuantitativas continuas en contextos reales.",,,,,,,,,
SB,sb-mat4a-e3,E.3,Medidas de localización y dispersión: interpretación y análisis de la variabilidad.,,,,,,,,,
SB,sb-mat4a-e4,E.4,"Gráficos estadísticos de una y dos variables: representación mediante diferentes tecnologías (calculadora, hoja de cálculo, aplicaciones…), análisis, interpretación y obtención de conclusiones razonadas.",,,,,,,,,
SB,sb-mat4a-e5,E.5,"Interpretación de la relación entre dos variables, valorando gráficamente con herramientas tecnológicas la pertinencia de realizar una regresión lineal. Ajuste lineal con herramientas tecnológicas.",,,,,,,,,
SB,sb-mat4a-e6,E.6,"Experimentos compuestos: planificación, realización y análisis de la incertidumbre asociada.",,,,,,,,,
SB,sb-mat4a-e7,E.7,"Probabilidad: cálculo aplicando la regla de Laplace y técnicas de recuento en experimentos simples y compuestos (mediante diagramas de árbol, tablas...) y aplicación a la toma de decisiones fundamentadas.",,,,,,,,,
SB,sb-mat4a-e8,E.8,Diferentes etapas del diseño de estudios estadísticos.,,,,,,,,,
SB,sb-mat4a-e9,E.9,Estrategias y herramientas de presentación e interpretación de datos relevantes en investigaciones estadísticas mediante herramientas digitales adecuadas.,,,,,,,,,
SB,sb-mat4a-e10,E.10,Análisis del alcance de las conclusiones de un estudio estadístico valorando la representatividad de la muestra.,,,,,,,,,
SB,sb-mat4a-f1,F.1,Gestión emocional: emociones que intervienen en el aprendizaje de las matemáticas. Autoconciencia y autorregulación. Superación de bloqueos emocionales en el aprendizaje de las matemáticas.,,,,,,,,,
SB,sb-mat4a-f2,F.2,"Estrategias de fomento de la curiosidad, la iniciativa, la perseverancia y la resiliencia en el aprendizaje de las matemáticas.",,,,,,,,,
SB,sb-mat4a-f3,F.3,Estrategias de fomento de la flexibilidad cognitiva: apertura a cambios de estrategia y transformación del error en oportunidad de aprendizaje.,,,,,,,,,
SB,sb-mat4a-f4,F.4,"Asunción de responsabilidades y participación activa, optimizando el trabajo en equipo. Estrategias de gestión de conflictos: pedir, dar y gestionar ayuda.",,,,,,,,,
SB,sb-mat4a-f5,F.5,Métodos para la gestión y la toma de decisiones adecuadas en la resolución de situaciones propias del quehacer matemático en el trabajo en equipo.,,,,,,,,,
SB,sb-mat4a-f6,F.6,Actitudes inclusivas y aceptación de la diversidad presente en el aula y en la sociedad.,,,,,,,,,
SB,sb-mat4a-f7,F.7,La contribución de las matemáticas al desarrollo de los distintos ámbitos del conocimiento humano desde una perspectiva de género.,,,,,,,,,
