type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12
OD,od-stem3,STEM3,"Plantea y desarrolla proyectos diseñando, fabricando y evaluando diferentes prototipos o modelos para generar o utilizar productos que den solución a una necesidad o problema de forma creativa y en equipo, procurando la participación de todo el grupo, resolviendo pacíficamente los conflictos que puedan surgir, adaptándose ante la incertidumbre y valorando la importancia de la sostenibilidad.",kc-stem,,,,,,,,,,,
OD,od-cd3,CD3,"Se comunica, participa, colabora e interactúa compartiendo contenidos, datos e información mediante herramientas o plataformas virtuales, y gestiona de manera responsable sus acciones, presencia y visibilidad en la red, para ejercer una ciudadanía digital activa, cívica y reflexiva.",kc-cd,,,,,,,,,,,
OD,od-cc3,CC3,"Comprende y analiza problemas éticos fundamentales y de actualidad, considerando críticamente los valores propios y ajenos, y desarrollando juicios propios para afrontar la controversia moral con actitud dialogante, argumentativa, respetuosa y opuesta a cualquier tipo de discriminación o violencia.",kc-cc,,,,,,,,,,,
OD,od-ce3,CE3,"Desarrolla el proceso de creación de ideas y soluciones valiosas y toma decisiones, de manera razonada, utilizando estrategias ágiles de planificación y gestión, y reflexiona sobre el proceso realizado y el resultado obtenido, para llevar a término el proceso de creación de prototipos innovadores y de valor, considerando la experiencia como una oportunidad para aprender.",kc-ce,,,,,,,,,,,
OD,od-ccec3,CCEC3,"Expresa ideas, opiniones, sentimientos y emociones por medio de producciones culturales y artísticas, integrando su propio cuerpo y desarrollando la autoestima, la creatividad y el sentido del lugar que ocupa en la sociedad, con una actitud empática, abierta y colaborativa.",kc-ccec,,,,,,,,,,,
OD,od-ccec4,CCEC4,"Conoce, selecciona y utiliza con creatividad diversos medios y soportes, así como técnicas plásticas, visuales, audiovisuales, sonoras o corporales, para la creación de productos artísticos y culturales, tanto de forma individual como colaborativa, identificando oportunidades de desarrollo personal, social y laboral, así como de emprendimiento.",kc-ccec,,,,,,,,,,,
OD,od-cp1,CP1,"Usa eficazmente una o más lenguas, además de la lengua o lenguas familiares, para responder a sus necesidades comunicativas, de manera apropiada y adecuada tanto a su desarrollo e intereses como a diferentes situaciones y contextos de los ámbitos personal, social, educativo y profesional.",kc-cp,,,,,,,,,,,
SC,sc-diga1-1,CEs 1,"Conocer y manejar diferentes configuraciones de los sistemas informáticos y de las redes de comunicación, explorando los parámetros y eligiendo el valor adecuado según las distintas situaciones para gestionar el entorno personal de aprendizaje.",od-stem1,od-stem2,od-cd1,od-cd2,od-cd5,od-cpsaa5,od-ce1,,,,,
SC,sc-diga1-2,CEs 2,"Utilizar herramientas, plataformas educativas y programas específicos del entorno digital del centro educativo, creando contenidos digitales, integrando",od-ccl1,od-ccl3,od-stem1,od-stem3,od-cd1,od-cd2,od-cd3,od-cpsaa5,od-cc3,od-ce3,od-ccec3,od-ccec4
SC,sc-diga1-3,CEs 3,"Diseñar aplicaciones sencillas expresando la secuencia lógica de pasos que resuelven un problema, analizando posibles mejoras a través de un entorno inicial intuitivo que permita comprender los fundamentos de programación y del pensamiento computacional.",od-ccl1,od-cp1,od-stem1,od-stem2,od-cd1,od-cd2,od-cd5,od-cpsaa5,od-ce1,,,
EC,ec-diga1-1.1,1.1,"Identificar los dispositivos digitales del entorno, describiendo los componentes principales, su funcionalidad y opciones de configuración.",,,,,,,,,,,,
EC,ec-diga1-1.2,1.2,"Gestionar las cuentas de usuario, configurando opciones de accesibilidad y mecanismos de seguridad.",,,,,,,,,,,,
EC,ec-diga1-1.3,1.3,Usar las utilidades del sistema operativo y los ajustes de las herramientas del entorno de aprendizaje para mejorar el uso de las distintas tecnologías.,,,,,,,,,,,,
EC,ec-diga1-1.4,1.4,Conectar dispositivos a redes cableadas o inalámbricas para la transmisión de datos.,,,,,,,,,,,,
EC,ec-diga1-2.1,2.1,"Adaptar la formulación de una consulta y usar las distintas opciones de las herramientas de búsqueda de información para recuperar resultados pertinentes y de interés, identificando aquellos datos que provienen de una fuente fiable y segura.",,,,,,,,,,,,
EC,ec-diga1-2.2,2.2,"Crear, integrar y reelaborar contenidos digitales de forma individual o colectiva, seleccionando las herramientas más apropiadas para generar nuevo conocimiento y contenidos digitales de manera creativa, teniendo en cuenta aspectos relacionados con la propiedad intelectual.",,,,,,,,,,,,
EC,ec-diga1-2.3,2.3,"Interactuar con compañeros, compartiendo y comentando creaciones digitales a través del uso de herramientas y opciones colaborativas.",,,,,,,,,,,,
EC,ec-diga1-3.1,3.1,"Descomponer un problema en módulos, reconociendo las fases de resolución de un problema y expresando de manera formal los pasos del algoritmo de solución.",,,,,,,,,,,,
EC,ec-diga1-3.2,3.2,"Implementar una solución a través de un lenguaje de programación, usando para ello las estructuras y los elementos básicos de la codificación.",,,,,,,,,,,,
EC,ec-diga1-3.3,3.3,"Probar y validar la solución implementada, buscando errores y mejoras.",,,,,,,,,,,,
SB,sb-diga1-a1,A.1,"Dispositivos digitales: componentes, características y resolución de problemas de manera guiada.",,,,,,,,,,,,
SB,sb-diga1-a2,A.2,"Utilidades básicas de los sistemas operativos: propiedades del sistema, almacenamiento, seguridad, actualizaciones, instalación y eliminación de software.",,,,,,,,,,,,
SB,sb-diga1-a3,A.3,Transmisión de datos: conexiones alámbricas e inalámbricas.,,,,,,,,,,,,
SB,sb-diga1-a4,A.4,"Acceso y configuración de cuentas con especial atención a las institucionales. Datos personales, términos y condiciones de uso.",,,,,,,,,,,,
SB,sb-diga1-b1,B.1,"Búsqueda y selección de información de diferentes recursos y fuentes confiables. Palabras clave, operadores y búsqueda avanzada.",,,,,,,,,,,,
SB,sb-diga1-b2,B.2,Edición y creación de contenidos digitales haciendo uso de los recursos que ofrecen los distintos centros educativos del Principado de Asturias.,,,,,,,,,,,,
SB,sb-diga1-b3,B.3,Comunicación y colaboración en red.,,,,,,,,,,,,
SB,sb-diga1-c1,C.1,"Resolución y análisis de problemas: descomposición, secuenciación, formulación y verificación de algoritmos.",,,,,,,,,,,,
SB,sb-diga1-c2,C.2,"Conceptos básicos de programación: sentencia, expresión condicional, bucles, variables y constantes.",,,,,,,,,,,,
SB,sb-diga1-c3,C.3,"Implementación de un algoritmo. Prueba, errores y mejoras.",,,,,,,,,,,,
