type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
OD,od-stem2,STEM2,"Utiliza el pensamiento científico para entender y explicar fenómenos relacionados con la modalidad elegida, confiando en el conocimiento como motor de desarrollo, planteándose hipótesis y contrastándolas o comprobándolas mediante la observación, la experimentación y la investigación, utilizando herramientas e instrumentos adecuados, apreciando la importancia de la precisión y la veracidad y mostrando una actitud crítica acerca del alcance y limitaciones de los métodos empleados.",kc-stem,,,,,,,,,
OD,od-cd1,CD1,"Realiza búsquedas avanzadas comprendiendo cómo funcionan los motores de búsqueda en internet aplicando criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y organizando el almacenamiento de la información de manera adecuada y segura para referenciarla y reutilizarla posteriormente.",kc-cd,,,,,,,,,
OD,od-cd4,CD4,"Evalúa riesgos y aplica medidas al usar las tecnologías digitales para proteger los dispositivos, los datos personales, la salud y el medioambiente y hace un uso crítico, legal, seguro, saludable y sostenible de dichas tecnologías.",kc-cd,,,,,,,,,
OD,od-cpsaa5,CPSAA5,"Planifica a largo plazo evaluando los propósitos y los procesos de la construcción del conocimiento, relacionando los diferentes campos del mismo para desarrollar procesos autorregulados de aprendizaje que le permitan transmitir ese conocimiento, proponer ideas creativas y resolver problemas con autonomía.",kc-cpsaa,,,,,,,,,
OD,od-ccl5,CCL5,"Pone sus prácticas comunicativas al servicio de la convivencia democrática, la resolución dialogada de los conflictos y la igualdad de derechos de todas las personas, evitando y rechazando los usos discriminatorios, así como los abusos de poder, para favorecer la utilización no solo eficaz sino también ética de los diferentes sistemas de comunicación.",kc-ccl,,,,,,,,,
OD,od-stem1,STEM1,"Selecciona y utiliza métodos inductivos y deductivos propios del razonamiento matemático en situaciones propias de la modalidad elegida y emplea estrategias variadas para la resolución de problemas analizando críticamente las soluciones y reformulando el procedimiento, si fuera necesario.",kc-stem,,,,,,,,,
OD,od-stem3,STEM3,"Plantea y desarrolla proyectos diseñando y creando prototipos o modelos para generar o utilizar productos que den solución a una necesidad o problema de forma colaborativa, procurando la participación de todo el grupo, resolviendo pacíficamente los conflictos que puedan surgir, adaptándose ante la incertidumbre y evaluando el producto obtenido de acuerdo a los objetivos propuestos, la sostenibilidad y el impacto transformador en la sociedad.",kc-stem,,,,,,,,,
OD,od-ce3,CE3,"Lleva a cabo el proceso de creación de ideas y soluciones innovadoras y toma decisiones, con sentido crítico y ético, aplicando conocimientos técnicos específicos y estrategias ágiles de planificación y gestión de proyectos, y reflexiona sobre el proceso realizado y el resultado obtenido, para elaborar un prototipo final de valor para el resto de las personas, considerando tanto la experiencia de éxito como de fracaso, una oportunidad para aprender.",kc-ce,,,,,,,,,
OD,od-ce1,CE1,"Evalúa necesidades y oportunidades y afronta retos, con sentido crítico y ético, evaluando su sostenibilidad y comprobando, a partir de conocimientos técnicos específicos, el impacto que puedan suponer en el entorno, para presentar y ejecutar ideas y soluciones innovadoras dirigidas a distintos contextos, tanto locales como globales, en el ámbito personal, social y académico con proyección profesional emprendedora.",kc-ce,,,,,,,,,
OD,od-stem5,STEM5,"Planea y emprende acciones fundamentadas científicamente para promover la salud física y mental, y preservar el medio ambiente y los seres vivos, practicando el consumo responsable, aplicando principios de ética y seguridad para crear valor y transformar su entorno de forma sostenible adquiriendo compromisos como ciudadano en el ámbito local y global.",kc-stem,,,,,,,,,
OD,od-cpsaa2,CPSAA2,"Adopta de forma autónoma un estilo de vida sostenible y atiende al bienestar físico y mental propio y de otras personas, buscando y ofreciendo apoyo en la sociedad para construir un mundo más saludable.",kc-cpsaa,,,,,,,,,
OD,od-cc4,CC4,"Analiza las relaciones de interdependencia y ecodependencia entre nuestras formas de vida y el entorno, realizando un análisis crítico de la huella ecológica de las acciones humanas, y demostrando un compromiso ético y ecosocialmente responsable con actividades y hábitos que conduzcan al logro de los Objetivos de Desarrollo Sostenible y la lucha contra el cambio climático.",kc-cc,,,,,,,,,
OD,od-ccec1,CCEC1,"Reflexiona, promueve y valora críticamente el patrimonio cultural y artístico de cualquier época, contrastando sus singularidades y partiendo de su propia identidad, para defender la libertad de expresión, la igualdad y el enriquecimiento inherente a la diversidad.",kc-ccec,,,,,,,,,
SC,sc-bgca1-1,CEs 1,"Interpretar y transmitir información y datos científicos, argumentando sobre estos con precisión y utilizando diferentes formatos para analizar procesos, métodos, experimentos o resultados de las ciencias biológicas, geológicas y medioambientales.",od-ccl1,od-ccl2,od-cp1,od-stem4,od-cd2,od-cpsaa3.2,od-cpsaa4,od-ccec3.1,,
SC,sc-bgca1-2,CEs 2,"Localizar y utilizar fuentes fiables, identificando, seleccionando y organizando la información, evaluándola críticamente y contrastando su veracidad, para resolver preguntas planteadas de forma autónoma relacionadas con las ciencias biológicas, geológicas y medioambientales.",od-ccl3,od-cp1,od-stem2,od-stem4,od-cd1,od-cd2,od-cd4,od-cpsaa4,od-cpsaa5,
SC,sc-bgca1-3,CEs 3,"Diseñar, planear y desarrollar proyectos de investigación siguiendo los pasos del método científico, teniendo en cuenta los recursos disponibles de forma realista y buscando vías de colaboración, para indagar en aspectos relacionados con las ciencias biológicas, geológicas y medioambientales.",od-ccl5,od-stem1,od-stem2,od-stem3,od-stem4,od-cd1,od-cd2,od-cpsaa3.2,od-cpsaa4,od-ce3
SC,sc-bgca1-4,CEs 4,"Buscar y utilizar estrategias en la resolución de problemas analizando críticamente las soluciones y respuestas halladas y reformulando el procedimiento, si fuera necesario para dar explicación a fenómenos relacionados con las ciencias biológicas, geológicas y medioambientales.",od-ccl3,od-stem1,od-stem2,od-cd1,od-cpsaa5,od-ce1,,,,
SC,sc-bgca1-5,CEs 5,"Diseñar, promover y ejecutar iniciativas relacionadas con la conservación del medioambiente, la sostenibilidad y la salud, basándose en los fundamentos de las ciencias biológicas, geológicas y ambientales, para fomentar estilos de vida hábitos de vida sostenibles y saludables.",od-ccl1,od-stem2,od-stem5,od-cd4,od-cpsaa2,od-cpsaa3.2,od-cc4,od-ce1,od-ce3,
SC,sc-bgca1-6,CEs 6,"Analizar los elementos del registro geológico utilizando fundamentos científicos, para relacionarlos con los grandes eventos ocurridos a lo largo de la historia de la Tierra y con la magnitud temporal en que se desarrollaron.",od-ccl3,od-cp1,od-stem1,od-stem2,od-stem5,od-cd1,od-cpsaa4,od-cc4,od-ccec1,
EC,ec-bgca1-1.1,1.1,"Analizar críticamente conceptos y procesos relacionados con los saberes de la materia interpretando información en diferentes formatos (textos, imágenes, modelos, gráficos, tablas, diagramas, fórmulas, esquemas...).",,,,,,,,,,
EC,ec-bgca1-1.2,1.2,"Comunicar informaciones u opiniones razonadas relacionadas con los saberes de la materia o con trabajos científicos transmitiéndolas de forma clara y rigurosa, utilizando la terminología y el formato adecuados (textos, imágenes, modelos, gráficos, tablas, vídeos, informes, diagramas, fórmulas, esquemas y símbolos, entre otros) y herramientas digitales.",,,,,,,,,,
EC,ec-bgca1-1.3,1.3,"Argumentar sobre aspectos relacionados con los saberes de la materia defendiendo una postura de forma razonada y con una actitud abierta, flexible, receptiva y respetuosa ante la opinión de las demás personas.",,,,,,,,,,
EC,ec-bgca1-2.1,2.1,"Plantear y resolver cuestiones relacionadas con los saberes de la materia localizando y citando fuentes adecuadas y seleccionando, organizando y analizando críticamente la información.",,,,,,,,,,
EC,ec-bgca1-2.2,2.2,"Contrastar y justificar la veracidad de la información relacionada con los saberes de la materia utilizando fuentes fiables y adoptando una actitud crítica y escéptica hacia informaciones sin una base científica como pseudociencias, teorías conspiratorias, creencias infundadas, bulos, etc.",,,,,,,,,,
EC,ec-bgca1-2.3,2.3,"Argumentar sobre la contribución de la ciencia a la sociedad y la labor de las personas dedicadas a ella destacando el papel de la mujer y entendiendo la investigación como una labor colectiva e interdisciplinar en constante evolución influida por el contexto político, social y económico.",,,,,,,,,,
EC,ec-bgca1-3.1,3.1,"Plantear preguntas, realizar predicciones y formular hipótesis que puedan ser respondidas o contrastadas utilizando la experimentación o la observación e intenten explicar fenómenos biológicos, geológicos o ambientales.",,,,,,,,,,
EC,ec-bgca1-3.2,3.2,"Diseñar la experimentación, la toma de datos y el análisis de fenómenos biológicos, geológicos y ambientales y seleccionar los instrumentos necesarios de modo que permitan responder de forma argumentada a preguntas concretas y contrastar una hipótesis planteada minimizando los sesgos.",,,,,,,,,,
EC,ec-bgca1-3.3,3.3,"Realizar experimentos y tomar datos cuantitativos y cualitativos sobre fenómenos biológicos, geológicos y ambientales seleccionando y utilizando los instrumentos, herramientas o técnicas adecuadas con corrección y precisión.",,,,,,,,,,
EC,ec-bgca1-3.4,3.4,"Interpretar y analizar resultados obtenidos en el proyecto de investigación utilizando, cuando sea necesario, herramientas matemáticas y tecnológicas y reconociendo su alcance y limitaciones y obteniendo conclusiones razonadas y fundamentadas o valorando la imposibilidad de hacerlo.",,,,,,,,,,
EC,ec-bgca1-3.5,3.5,"Establecer colaboraciones dentro y fuera del centro educativo en las distintas fases del proyecto científico para trabajar con mayor eficiencia, utilizando las herramientas tecnológicas adecuadas, valorando la importancia de la cooperación en la investigación, respetando la diversidad y favoreciendo la inclusión.",,,,,,,,,,
EC,ec-bgca1-4.1,4.1,"Resolver problemas o dar explicación a procesos biológicos, geológicos o ambientales utilizando recursos variados como conocimientos propios, datos e información, razonamiento lógico, pensamiento computacional o herramientas digitales.",,,,,,,,,,
EC,ec-bgca1-4.2,4.2,"Analizar críticamente la solución a un problema sobre fenómenos biológicos, geológicos o ambientales y modificar los procedimientos utilizados o conclusiones obtenidas si dicha solución no fuese viable o ante nuevos datos aportados o encontrados con posterioridad.",,,,,,,,,,
EC,ec-bgca1-5.1,5.1,"Analizar las causas y consecuencias ecológicas, sociales y económicas de los principales problemas medioambientales desde una perspectiva individual, local y global, concibiéndolos como grandes retos de la humanidad y basándose en datos científicos y en los saberes de la materia.",,,,,,,,,,
EC,ec-bgca1-5.2,5.2,Proponer y poner en práctica hábitos e iniciativas sostenibles y saludables a nivel local y argumentar sobre sus efectos positivos y la urgencia de adoptarlos basándose en los saberes de la materia.,,,,,,,,,,
EC,ec-bgca1-6.1,6.1,Relacionar los grandes eventos de la historia terrestre con determinados elementos del registro geológico y con los sucesos que ocurren en la actualidad utilizando los principios geológicos básicos y el razonamiento lógico y entender su relación con los procesos geológicos externos e internos que han condicionado la estructura actual de la Tierra.,,,,,,,,,,
EC,ec-bgca1-6.2,6.2,Resolver problemas de datación analizando elementos del registro geológico y fósil y aplicando métodos de datación.,,,,,,,,,,
SB,sb-bgca1-a1,A.1,"Hipótesis, preguntas y problemas: planteamiento con perspectiva científica.",,,,,,,,,,
SB,sb-bgca1-a2,A.2,"Estrategias para la búsqueda de información, colaboración, comunicación e interacción con instituciones científicas: herramientas digitales, formatos de presentación de procesos, resultados e ideas (diapositivas, gráficos, vídeos, posters, informes y otros).",,,,,,,,,,
SB,sb-bgca1-a3,A.3,"Fuentes fiables de información: búsqueda, reconocimiento y utilización.",,,,,,,,,,
SB,sb-bgca1-a4,A.4,"Experiencias científicas de laboratorio o de campo: diseño, planificación y realización. Contraste de hipótesis. Controles experimentales.",,,,,,,,,,
SB,sb-bgca1-a5,A.5,"Métodos de análisis de resultados: organización, representación y herramientas estadísticas.",,,,,,,,,,
SB,sb-bgca1-a6,A.6,"Estrategias de comunicación científica: vocabulario científico, formatos (informes, vídeos, modelos, gráficos y otros) y herramientas digitales.",,,,,,,,,,
SB,sb-bgca1-a7,A.7,"La labor científica y las personas dedicadas a la ciencia: contribución a las ciencias biológicas, geológicas y ambientales e importancia social y económica. El papel de la mujer en la ciencia.",,,,,,,,,,
SB,sb-bgca1-a8,A.8,"La evolución histórica del saber científico: la ciencia como labor colectiva, interdisciplinar y en continua construcción.",,,,,,,,,,
SB,sb-bgca1-b1,B.1,"El medio ambiente como motor económico y social: importancia de la evaluación de impacto ambiental, de la gestión sostenible de recursos y residuos, del desarrollo sostenible y de la biodiversidad. La relación entre la salud medioambiental, humana y de otros seres vivos: one health (una sola salud). Importancia económica y social de la riqueza ecológica del Principado de Asturias y de su conservación.",,,,,,,,,,
SB,sb-bgca1-b2,B.2,"La sostenibilidad de las actividades cotidianas: uso de indicadores de sostenibilidad, estilos de vida compatibles y coherentes con un modelo de desarrollo sostenible. Concepto de huella ecológica.",,,,,,,,,,
SB,sb-bgca1-b3,B.3,Iniciativas locales y globales para promover un modelo de desarrollo sostenible.,,,,,,,,,,
SB,sb-bgca1-b4,B.4,Conceptode ecosistemay reconocimiento de sus componentes y las interrelaciones entre ellos.,,,,,,,,,,
SB,sb-bgca1-b5,B.5,"La dinámica de los ecosistemas: los flujos de energía, los ciclos de la materia (carbono, nitrógeno, fósforo y azufre) y las relaciones tróficas. Resolución de problemas.",,,,,,,,,,
SB,sb-bgca1-b6,B.6,"El cambio climático: su relación con el ciclo del carbono, causas y consecuencias sobre la salud, la economía, la ecología y la sociedad. Estrategias y herramientas para afrontarlo: mitigación y adaptación.",,,,,,,,,,
SB,sb-bgca1-b7,B.7,"La pérdida de biodiversidad: causas y consecuencias ambientales, y sociales y económicas.",,,,,,,,,,
SB,sb-bgca1-b8,B.8,El problema de los residuos. Los compuestos xenobióticos: los plásticos y sus efectos sobre la naturaleza y sobre la salud humana y de otros seres vivos. La prevención y gestión adecuada de los residuos.,,,,,,,,,,
SB,sb-bgca1-c1,C.1,"El tiempo geológico: magnitud, escala y métodos de datación. Problemas de datación absoluta y relativa.",,,,,,,,,,
SB,sb-bgca1-c2,C.2,La historia de la Tierra: principales acontecimientos geológicos. Influencia en el relieve del Principado de Asturias.,,,,,,,,,,
SB,sb-bgca1-c3,C.3,Métodos y principios para el estudio del registro geológico: reconstrucción de la historia geológica de una zona. Principios geológicos.,,,,,,,,,,
SB,sb-bgca1-c4,C.4,La historia de la vida en la Tierra: principales cambios en los grandes grupos de seres vivos y justificación desde la perspectiva evolutiva.,,,,,,,,,,
SB,sb-bgca1-c5,C.5,Los principales grupos taxonómicos: características fundamentales. Importancia de la conservación de la Biodiversidad a nivel global y en el Principado de Asturias.,,,,,,,,,,
SB,sb-bgca1-d1,D.1,"Estructura, dinámica y funciones de la atmósfera.",,,,,,,,,,
SB,sb-bgca1-d2,D.2,"Estructura, dinámica y funciones de la hidrosfera.",,,,,,,,,,
SB,sb-bgca1-d3,D.3,Estructura y dinámica de la geosfera: la teoría de la tectónica de placas Métodos de estudio directos e indirectos.,,,,,,,,,,
SB,sb-bgca1-d4,D.4,"Los procesos geológicos internos, el relieve y su relación la tectónica de placas. Tipos de bordes, relieves, actividad sísmica y volcánica y rocas resultantes en cada uno de ellos.",,,,,,,,,,
SB,sb-bgca1-d5,D.5,Los procesos geológicos externos: agentes causales y sus consecuencias sobre el relieve. Formas principales de modelado del relieve y geomorfología.,,,,,,,,,,
SB,sb-bgca1-d6,D.6,La edafogénesis: factores y procesos formadores del suelo. La edafodiversidad e importancia de su conservación.,,,,,,,,,,
SB,sb-bgca1-d7,D.7,"Los riesgos naturales: relación con los procesos geológicos y las actividades humanas. Estrategias de predicción, prevención y corrección.",,,,,,,,,,
SB,sb-bgca1-d8,D.8,Clasificación e identificación de las rocas: según su origen y composición. El ciclo litológico.,,,,,,,,,,
SB,sb-bgca1-d9,D.9,Clasificación químico-estructural e identificación de minerales y rocas.,,,,,,,,,,
SB,sb-bgca1-d10,D.10,"La importancia de los minerales y las rocas: usos cotidianos e influencia en el patrimonio cultural, en la economía y sociedad asturiana. Su explotación y uso responsable.",,,,,,,,,,
SB,sb-bgca1-d11,D.11,La importancia de la conservación del patrimonio geológico.,,,,,,,,,,
SB,sb-bgca1-e1,E.1,Bioelementos y biomoléculas que configuran la estructura celular.,,,,,,,,,,
SB,sb-bgca1-e2,E.2,Modelos de organización celular: célula procariota y célula eucariota. Reconocimiento de los orgánulos celulares y su relación con los procesos fisiológicos de los seres vivos.,,,,,,,,,,
SB,sb-bgca1-e3,E.3,"Identificación de los tejidos animales endibujos, microfotografíasy preparaciones microscópicas.",,,,,,,,,,
SB,sb-bgca1-e4,E.4,La función de nutrición: importancia biológica y estructuras implicadas en diferentes grupos taxonómicos.,,,,,,,,,,
SB,sb-bgca1-e5,E.5,"La función de relación: fisiología y funcionamiento de los sistemas de coordinación (nervioso y endocrino), de los receptores sensoriales, y de los órganos efectores en diferentes grupos taxonómicos.",,,,,,,,,,
SB,sb-bgca1-e6,E.6,"La función de reproducción: importancia biológica, tipos y estructuras implicadas en diferentes grupos taxonómicos.",,,,,,,,,,
SB,sb-bgca1-f1,F.1,"Identificación de los tejidos vegetales en dibujos, microfotografías y preparaciones microscópicas",,,,,,,,,,
SB,sb-bgca1-f2,F.2,"La función de nutrición: la fotosíntesis, su balance general e importancia para la vida en la Tierra. Composición, formación y mecanismos de transporte de la savia bruta y la savia elaborada.",,,,,,,,,,
SB,sb-bgca1-f3,F.3,"La función de relación: tipos de respuestas de los vegetales a estímulos e influencia de las fitohormonas (auxinas, citoquininas, etileno, etc.).",,,,,,,,,,
SB,sb-bgca1-f4,F.4,"La función de reproducción: la reproducción sexual y asexual, relevancia evolutiva, los ciclos biológicos, tipos de reproducción asexual, procesos implicados en la reproducción sexual (polinización, fecundación, dispersión de la semilla y el fruto) y su relación con el ecosistema.",,,,,,,,,,
SB,sb-bgca1-f5,F.5,Las adaptaciones de los vegetales al medio: relación entre estas y el ecosistema en el que se desarrollan.,,,,,,,,,,
SB,sb-bgca1-g1,G.1,Las eubacterias y las arqueobacterias: diferencias.,,,,,,,,,,
SB,sb-bgca1-g2,G.2,El metabolismo bacteriano: ejemplos de importancia ecológica (simbiosis y ciclos biogeoquímicos).,,,,,,,,,,
SB,sb-bgca1-g3,G.3,Los microorganismos como agentes causales de enfermedades infecciosas: zoonosis y epidemias.,,,,,,,,,,
SB,sb-bgca1-g4,G.4,El cultivo de microorganismos: técnicas de esterilización y cultivo.,,,,,,,,,,
SB,sb-bgca1-g5,G.5,Mecanismos de transferencia genética horizontal en bacterias: el problema de la resistencia a antibióticos.,,,,,,,,,,
SB,sb-bgca1-g6,G.6,"Las formas acelulares (virus, viroides y priones): características, mecanismos de infección e importancia biológica.",,,,,,,,,,
BB,bb-bgca1-a,A,Proyecto científico,,,,,,,,,,
BB,bb-bgca1-b,B,Ecología y sostenibilidad,,,,,,,,,,
BB,bb-bgca1-c,C,Historia de la Tierra y la vida,,,,,,,,,,
BB,bb-bgca1-d,D,La dinámica y composición terrestre,,,,,,,,,,
BB,bb-bgca1-e,E,Fisiología e histología animal,,,,,,,,,,
BB,bb-bgca1-f,F,Fisiología e histología vegetal.,,,,,,,,,,
BB,bb-bgca1-g,G,Los microorganismos y formas acelulares,,,,,,,,,,
