type,id,code,description,link1,link2,link3,link4,link5,link6
OD,od-ce3,CE3,"Lleva a cabo el proceso de creación de ideas y soluciones innovadoras y toma decisiones, con sentido crítico y ético, aplicando conocimientos técnicos específicos y estrategias ágiles de planificación y gestión de proyectos, y reflexiona sobre el proceso realizado y el resultado obtenido, para elaborar un prototipo final de valor para el resto de las personas, considerando tanto la experiencia de éxito como de fracaso, una oportunidad para aprender.",kc-ce,,,,,
OD,od-cd2,CD2,"Crea, integra y reelabora contenidos digitales de forma individual o colectiva, aplicando medidas de seguridad y respetando, en todo momento, los derechos de autoría digital para ampliar sus recursos y generar nuevo conocimiento.",kc-cd,,,,,
OD,od-stem3,STEM3,"Plantea y desarrolla proyectos diseñando y creando prototipos o modelos para generar o utilizar productos que den solución a una necesidad o problema de forma colaborativa, procurando la participación de todo el grupo, resolviendo pacíficamente los conflictos que puedan surgir, adaptándose ante la incertidumbre y evaluando el producto obtenido de acuerdo a los objetivos propuestos, la sostenibilidad y el impacto transformador en la sociedad.",kc-stem,,,,,
OD,od-cd3,CD3,"Selecciona, configura y utiliza dispositivos digitales, herramientas, aplicaciones y servicios en línea y los incorpora en su entorno personal de aprendizaje digital para comunicarse, trabajar colaborativamente y compartir información, gestionando de manera responsable sus acciones, presencia y visibilidad en la red y ejerciendo una ciudadanía digital activa, cívica y reflexiva.",kc-cd,,,,,
SC,sc-dtap2-1,CEs 1,"Observar, analizar y valorar la presencia de la geometría en la naturaleza, el entorno construido y el arte, identificando sus estructuras geométricas, elementos y códigos con una actitud proactiva de apreciación y disfrute, para explicar su origen, función e intencionalidad en distintos contextos y medios.",od-ccl1,od-ccl2,od-stem2,od-cd1,od-cpsaa4,od-cc1
SC,sc-dtap2-2,CEs 2,"Desarrollar propuestas gráficas y de diseño, utilizando tanto el dibujo a mano alzada como los materiales propios del dibujo técnico y elaborando trazados, composiciones y transformaciones geométricas en el plano de forma intuitiva y razonada, para incorporar estos recursos tanto en la transmisión y desarrollo de ideas, como en la expresión de sentimientos y emociones.",od-ccl1,od-stem2,od-cpsaa1.1,od-cpsaa5,od-ccec3,od-ccec4
SC,sc-dtap2-3,CEs 3,"Comprender e interpretar el espacio y los objetos tridimensionales, analizando y valorando su presencia en las representaciones artísticas, seleccionando y utilizando el sistema de representación más adecuado para aplicarlo a la realización de ilustraciones y proyectos de diseño de objetos y espacios.",od-stem4,od-cpsaa1.1,od-cpsaa5,od-ce3,od-ccec3,od-ccec4
SC,sc-dtap2-4,CEs 4,"Analizar, definir formalmente o visualizar ideas, aplicando las normas fundamentales UNE e ISO para interpretar y representar objetos y espacios, así como documentar proyectos de diseño.",od-ccl2,od-stem4,od-cd2,od-cpsaa5,od-ce3,od-ccec4
SC,sc-dtap2-5,CEs 5,"Integrar y aprovechar las posibilidades que ofrecen las herramientas digitales, seleccionando y utilizando programas y aplicaciones específicas de dibujo vectorial 2D y de modelado 3D para desarrollar procesos de creación artística personal o de diseño.",od-stem3,od-cd2,od-cd3,od-cpsaa5,od-ce3,od-ccec3
EC,ec-dtap2-1.1,1.1,"Identificar y explicar la presencia de formas y relaciones geométricas en el arte y el diseño, comprendiendo el motivo o intencionalidad con la que se han utilizado.",,,,,,
EC,ec-dtap2-2.1,2.1,"Diseñar patrones y mosaicos, aplicando las transformaciones geométricas al diseño de patrones y mosaicos.",,,,,,
EC,ec-dtap2-2.2,2.2,"Diseñar formas creativas, empleando tangencias, enlaces y curvas cónicas.",,,,,,
EC,ec-dtap2-3.1,3.1,"Dibujar, en las perspectivas isométricas y caballera, formas volumétricas incorporando curvas.",,,,,,
EC,ec-dtap2-3.2,3.2,"Diseñar espacios o escenografías aplicando la perspectiva cónica, representando las luces y sombras de los objetos contenidos y reflexionando sobre el proceso realizado y el resultado obtenido.",,,,,,
EC,ec-dtap2-4.1,4.1,"Proyectar, de manera individual o en grupo, un diseño sencillo, comunicando de manera clara e inequívoca su forma y dimensiones mediante el uso de la normalización, aplicando estrategias y destrezas que agilicen el trabajo colaborativo.",,,,,,
EC,ec-dtap2-5.1,5.1,"Realizar y presentar proyectos, aprovechando las posibilidades que las herramientas de dibujo vectorial aportan a los campos del diseño y el arte.",,,,,,
SB,sb-dtap2-a1,A.1,"Composiciones modulares en el diseño gráfico, de objetos y de espacios.",,,,,,
SB,sb-dtap2-a2,A.2,Geometría e ilusiones ópticas en el arte y el diseño.,,,,,,
SB,sb-dtap2-a3,A.3,"Las curvas cónicas en la naturaleza, el entorno, el arte y el diseño.",,,,,,
SB,sb-dtap2-a4,A.4,La representación del espacio en el diseño y arte contemporáneo.,,,,,,
SB,sb-dtap2-a5,A.5,Transformaciones geométricas aplicadas a la creación de mosaicos y patrones. Trazado con y sin herramientas digitales.,,,,,,
SB,sb-dtap2-a6,A.6,Enlaces y tangencias. Aplicación en el diseño gráfico mediante trazado manual y digital.,,,,,,
SB,sb-dtap2-b1,B.1,Representación de la circunferencia y de sólidos sencillos en perspectivas isométrica y caballera. Aplicación al diseño de formas tridimensionales.,,,,,,
SB,sb-dtap2-b2,B.2,Estructuras poliédricas. Los sólidos platónicos. Aplicación en la Arquitectura y el diseño.,,,,,,
SB,sb-dtap2-b3,B.3,"Aplicaciones de la perspectiva cónica, frontal, oblicua y de cuadro inclinado, al diseño de espacios y objetos. Representación de luces y sombras.",,,,,,
SB,sb-dtap2-c1,C.1,Fases de un proyecto de diseño: del croquis al plano de taller.,,,,,,
SB,sb-dtap2-c2,C.2,"Representación de objetos mediante sus vistas acotadas. Cortes, secciones y roturas.",,,,,,
SB,sb-dtap2-d1,D.1,Dibujo asistido por ordenador aplicado a proyectos de arte y diseño.,,,,,,
BB,bb-dtap2-a,A,"Geometría, arte y entorno",,,,,,
BB,bb-dtap2-b,B,Sistemas de representación del espacio aplicados,,,,,,
BB,bb-dtap2-c,C,Normalización y diseño de proyectos,,,,,,
BB,bb-dtap2-d,D,Herramientas digitales para el diseño,,,,,,
