type,id,code,description,link1,link2,link3,link4,link5,link6
OD,od-ccl1,CCL1,"Se expresa de forma oral, escrita, signada o multimodal con fluidez, coherencia, corrección y adecuación a los diferentes contextos sociales y académicos, y participa en interacciones comunicativas con actitud cooperativa y respetuosa tanto para intercambiar información, crear conocimiento y argumentar sus opiniones como para establecer y cuidar sus relaciones interpersonales.",kc-ccl,,,,,
OD,od-ccl5,CCL5,"Pone sus prácticas comunicativas al servicio de la convivencia democrática, la resolución dialogada de los conflictos y la igualdad de derechos de todas las personas, evitando y rechazando los usos discriminatorios, así como los abusos de poder, para favorecer la utilización no solo eficaz sino también ética de los diferentes sistemas de comunicación.",kc-ccl,,,,,
OD,od-cpsaa4,CPSAA4,"Compara, analiza, evalúa y sintetiza datos, información e ideas de los medios de comunicación, para obtener conclusiones lógicas de forma autónoma, valorando la fiabilidad de las fuentes.",kc-cpsaa,,,,,
OD,od-ce3,CE3,"Lleva a cabo el proceso de creación de ideas y soluciones innovadoras y toma decisiones, con sentido crítico y ético, aplicando conocimientos técnicos específicos y estrategias ágiles de planificación y gestión de proyectos, y reflexiona sobre el proceso realizado y el resultado obtenido, para elaborar un prototipo final de valor para el resto de las personas, considerando tanto la experiencia de éxito como de fracaso, una oportunidad para aprender.",kc-ce,,,,,
OD,od-cpsaa5,CPSAA5,"Planifica a largo plazo evaluando los propósitos y los procesos de la construcción del conocimiento, relacionando los diferentes campos del mismo para desarrollar procesos autorregulados de aprendizaje que le permitan transmitir ese conocimiento, proponer ideas creativas y resolver problemas con autonomía.",kc-cpsaa,,,,,
OD,od-ce2,CE2,"Evalúa y reflexiona sobre las fortalezas y debilidades propias y las de otras personas, haciendo uso de estrategias de autoconocimiento y autoeficacia, interioriza los conocimientos económicos y financieros específicos y los transfiere a contextos locales y globales, aplicando estrategias y destrezas que agilicen el trabajo colaborativo y en equipo, para reunir y optimizar los recursos necesarios, que lleven a la acción una experiencia o iniciativa emprendedora de valor.",kc-ce,,,,,
OD,od-cd1,CD1,"Realiza búsquedas avanzadas comprendiendo cómo funcionan los motores de búsqueda en internet aplicando criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y organizando el almacenamiento de la información de manera adecuada y segura para referenciarla y reutilizarla posteriormente.",kc-cd,,,,,
OD,od-cd3,CD3,"Selecciona, configura y utiliza dispositivos digitales, herramientas, aplicaciones y servicios en línea y los incorpora en su entorno personal de aprendizaje digital para comunicarse, trabajar colaborativamente y compartir información, gestionando de manera responsable sus acciones, presencia y visibilidad en la red y ejerciendo una ciudadanía digital activa, cívica y reflexiva.",kc-cd,,,,,
SC,sc-qui2-1,CEs 1,"Comprender, describir y aplicar los fundamentos de los procesos químicos más importantes, atendiendo a su base experimental y a los fenómenos que describen, para reconocer el papel relevante de la química en el desarrollo de la sociedad.",od-stem1,od-stem2,od-stem3,od-ce1,,
SC,sc-qui2-2,CEs 2,"Adoptar los modelos y leyes de la química aceptados como base de estudio de las propiedades de los sistemas materiales, para inferir soluciones generales a los problemas cotidianos relacionados con las aplicaciones prácticas de la química y sus repercusiones en el medioambiente.",od-ccl2,od-stem2,od-stem5,od-cd5,od-ce1,
SC,sc-qui2-3,CEs 3,"Utilizar con corrección los códigos del lenguaje químico (nomenclatura química, unidades, ecuaciones, etc.), aplicando sus reglas específicas, para emplearlos como base de una comunicación adecuada entre diferentes comunidades científicas y herramienta fundamental en la investigación de esta ciencia.",od-stem4,od-ccl1,od-ccl5,od-cpsaa4,od-ce3,
SC,sc-qui2-4,CEs 4,"Reconocer la importancia del uso responsable de los productos y procesos químicos, elaborando argumentos informados sobre la influencia positiva que la química tiene sobre la sociedad actual, para contribuir a superar las connotaciones negativas que en multitud de ocasiones se atribuyen al término «químico».",od-stem1,od-stem5,od-cpsaa5,od-ce2,,
SC,sc-qui2-5,CEs 5,Aplicar técnicas de trabajo propias de las ciencias experimentales y el razonamiento lógico-matemático en la resolución de problemas de química y en la interpretación,od-stem1,od-stem2,od-stem3,od-cd1,od-cd3,od-cd5
SC,sc-qui2-6,CEs 6,"Reconocer y analizar la química como un área de conocimiento multidisciplinar y versátil, poniendo de manifiesto las relaciones con otras ciencias y campos de conocimiento, para realizar a través de ella una aproximación holística al conocimiento científico y global.",,,,,,
EC,ec-qui2-1.1,1.1,"Reconocer la importancia de la química y sus conexiones con otras áreas en el desarrollo de la sociedad, el progreso de la ciencia, la tecnología, la economía y el desarrollo sostenible respetuoso con el medioambiente, identificando los avances en el campo de la química que han sido fundamentales en estos aspectos.",,,,,,
EC,ec-qui2-1.2,1.2,"Describir los principales procesos químicos que suceden en el entorno y las propiedades de los sistemas materiales a partir de los conocimientos, destrezas y actitudes propios de las distintas ramas de la química.",,,,,,
EC,ec-qui2-1.3,1.3,"Reconocer la naturaleza experimental e interdisciplinar de la química y su influencia en la investigación científica y en los ámbitos económico y laboral actuales, considerando los hechos empíricos y sus aplicaciones en otros campos del conocimiento y la actividad humana.",,,,,,
EC,ec-qui2-2.1,2.1,"Relacionar los principios de la química con los principales problemas de la actualidad asociados al desarrollo de la ciencia y la tecnología, analizando cómo se comunican a través de los medios de comunicación o son observados en la experiencia cotidiana.",,,,,,
EC,ec-qui2-2.2,2.2,"Reconocer y comunicar que las bases de la química constituyen un cuerpo de conocimiento imprescindible en un marco contextual de estudio y discusión de cuestiones significativas en los ámbitos social, económico, político y ético identificando la presencia e influencia de estas bases en dichos ámbitos.",,,,,,
EC,ec-qui2-2.3,2.3,"Aplicar de manera informada, coherente y razonada los modelos y leyes de la química, explicando y prediciendo las consecuencias de experimentos, fenómenos naturales, procesos industriales y descubrimientos científicos.",,,,,,
EC,ec-qui2-3.1,3.1,"Utilizar correctamente las normas de nomenclatura de la IUPAC como base de un lenguaje universal para la química que permita una comunicación efectiva en toda la comunidad científica, aplicando dichas normas al reconocimiento y escritura de fórmulas y nombres de diferentes especies químicas.",,,,,,
EC,ec-qui2-3.2,3.2,"Emplear con rigor herramientas matemáticas para apoyar el desarrollo del pensamiento científico que se alcanza con el estudio de la química, aplicando estas herramientas en la resolución de problemas usando ecuaciones, unidades, operaciones, etc.",,,,,,
EC,ec-qui2-3.3,3.3,"Practicar y hacer respetar las normas de seguridad relacionadas con la manipulación de sustancias químicas en el laboratorio y en otros entornos, así como los procedimientos para la correcta gestión y eliminación de los residuos, utilizando correctamente los códigos de comunicación característicos de la química.",,,,,,
EC,ec-qui2-4.1,4.1,"Analizar la composición química de los sistemas materiales que se encuentran en el entorno más próximo, en el medio natural y en el entorno industrial y tecnológico, demostrando que sus propiedades, aplicaciones y beneficios están basados en los principios de la química.",,,,,,
EC,ec-qui2-4.2,4.2,"Argumentar de manera informada, aplicando las teorías y leyes de la química, que los efectos negativos de determinadas sustancias en el ambiente y en la salud se deben al mal uso que se hace de esos productos o negligencia, y no a la ciencia química en sí.",,,,,,
EC,ec-qui2-4.3,4.3,"Explicar, empleando los conocimientos científicos adecuados, cuáles son los beneficios de los numerosos productos de la tecnología química y cómo su empleo y aplicación han contribuido al progreso de la sociedad.",,,,,,
EC,ec-qui2-5.1,5.1,Reconocer la importante contribución en la química del trabajo colaborativo entre especialistas de diferentes disciplinas científicas poniendo de relieve las conexiones entre las leyes y teorías propias de cada una de ellas.,,,,,,
EC,ec-qui2-5.2,5.2,Reconocer la aportación de la química al desarrollo del pensamiento científico y a la autonomía de pensamiento crítico a través de la puesta en práctica de las metodologías de trabajo propias de las disciplinas científicas.,,,,,,
EC,ec-qui2-5.3,5.3,"Resolver problemas relacionados con la química y estudiar situaciones relacionadas con esta ciencia, reconociendo la importancia de la contribución particular de cada miembro del equipo y la diversidad de pensamiento y consolidando habilidades sociales positivas en el seno de equipos de trabajo.",,,,,,
EC,ec-qui2-5.4,5.4,"Representar y visualizar de forma eficiente los conceptos de química que presenten mayores dificultades, utilizando herramientas digitales y recursos variados, incluyendo experiencias de laboratorio real y virtual.",,,,,,
EC,ec-qui2-6.1,6.1,"Explicar y razonar los conceptos fundamentales que se encuentran en la base de la química aplicando los conceptos, leyes y teorías de otras disciplinas científicas (especialmente de la física) a través de la experimentación y la indagación",,,,,,
EC,ec-qui2-6.2,6.2,"Deducir las ideas fundamentales de otras disciplinas científicas (por ejemplo, la biología o la tecnología) por medio de la relación entre sus contenidos básicos y las leyes y teorías que son propias de la química.",,,,,,
EC,ec-qui2-6.3,6.3,"Solucionar problemas y cuestiones que son característicos de la química utilizando las herramientas provistas por las matemáticas y la tecnología, reconociendo así la relación entre los fenómenos experimentales y naturales y los conceptos propios de esta disciplina",,,,,,
SB,sb-qui2-a1,A.1,Los espectros atómicos como responsables de la necesidad de la revisión del modelo atómico. Relevancia de este fenómeno en el contexto del desarrollo histórico del modelo atómico,,,,,,
SB,sb-qui2-a2,A.2,Interpretación de los espectros de emisión y absorción de los elementos. Relación con la estructura electrónica del átomo.,,,,,,
SB,sb-qui2-a3,A.3,Relación entre el fenómeno de los espectros atómicos y la cuantización de la energía. Del modelo de Bohr a los modelos mecano-cuánticos: necesidad de una estructura electrónica en diferentes niveles,,,,,,
SB,sb-qui2-a4,A.4,Principio de incertidumbre de Heisenberg y doble naturaleza onda-corpúsculo del electrón. Naturaleza probabilística del concepto de orbital.,,,,,,
SB,sb-qui2-a5,A.5,Números cuánticos y principio de exclusión de Pauli. Estructura electrónica del átomo. Utilización del diagrama de Moeller para escribir la configuración electrónica de los elementos químicos.,,,,,,
SB,sb-qui2-a6,A.6,Naturaleza experimental del origen de la tabla periódica en cuanto al agrupamiento de los elementos según sus propiedades. La teoría atómica actual y su relación con las leyes experimentales observadas.,,,,,,
SB,sb-qui2-a7,A.7,Posición de un elemento en la tabla periódica a partir de su configuración electrónica.,,,,,,
SB,sb-qui2-a8,A.8,Tendencias periódicas. Aplicación a la predicción de los valores de las propiedades de los elementos de la tabla a partir de su posición en la misma.,,,,,,
SB,sb-qui2-a9,A.9,Enlace químico y fuerzas intermoleculares,,,,,,
SB,sb-qui2-a10,A.10,"Tipos de enlace a partir de las características de los elementos individuales que lo forman. Energía implicada en la formación de moléculas, de cristales y de estructuras macroscópicas. Propiedades de las sustancias químicas",,,,,,
SB,sb-qui2-a11,A.11,"Modelos de Lewis, TRPECV e hibridación de orbitales. Configuración geométrica de los compuestos moleculares y las características de los sólidos",,,,,,
SB,sb-qui2-a12,A.12,Ciclo de Born-Haber. Energía intercambiada en la formación de cristales iónicos.,,,,,,
SB,sb-qui2-a13,A.13,Modelos de la nube electrónica y la teoría de bandas para explicar las propiedades características de los cristales metálicos.,,,,,,
SB,sb-qui2-a14,A.14,Fuerzas intermoleculares a partir de las características del enlace químico y la geometría de las moléculas. Propiedades macroscópicas de los compuestos moleculares.,,,,,,
SB,sb-qui2-b1,B.1,Primer principio de la termodinámica: intercambios de energía entre sistemas a través del calor y del trabajo.,,,,,,
SB,sb-qui2-b2,B.2,Ecuaciones termoquímicas. Concepto de entalpía de reacción. Procesos endotérmicos y exotérmicos.,,,,,,
SB,sb-qui2-b3,B.3,"Balance energético entre productos y reactivos mediante la ley de Hess, a través de la entalpía de formación estándar o de las energías de enlace, para obtener la entalpía de una reacción.",,,,,,
SB,sb-qui2-b4,B.4,Segundo principio de la termodinámica. La entropía como magnitud que afecta a la espontaneidad e irreversibilidad de los procesos químicos.,,,,,,
SB,sb-qui2-b5,B.5,Cálculo de la energía de Gibbs de las reacciones químicas y espontaneidad de las mismas en función de la temperatura del sistema.,,,,,,
SB,sb-qui2-b6,B.6,Teoría de las colisiones y teoría del estado de transición como modelos a escala microscópica de las reacciones químicas. Conceptos de velocidad de reacción y energía de activación.,,,,,,
SB,sb-qui2-b7,B.7,Influencia de las condiciones de reacción sobre la velocidad de la misma.,,,,,,
SB,sb-qui2-b8,B.8,Ley diferencial de la velocidad de una reacción química y los órdenes de reacción a partir de datos experimentales de velocidad de reacción.,,,,,,
SB,sb-qui2-b9,B.9,El equilibrio químico como proceso dinámico: ecuaciones de velocidad y aspectos termodinámicos. Expresión de la constante de equilibrio mediante la ley de acción de masas.,,,,,,
SB,sb-qui2-b10,B.10,La constante de equilibrio de reacciones en las que los reactivos se encuentren en el mismo o en diferente estado físico. Relación entre Kc y Kp utilizando el grado de disociación como herramienta para conocer las condiciones finales de un equilibrio. Producto de solubilidad en equilibrios heterogéneos.,,,,,,
SB,sb-qui2-b11,B.11,"Principio de Le Châtelier y el cociente de reacción. Evolución de sistemas en equilibrio a partir de la variación de las condiciones de concentración, presión o temperatura del sistema",,,,,,
SB,sb-qui2-b12,B.12,Naturaleza ácida o básica de una sustancia a partir de las teorías de Arrhenius y de Brønsted y Lowry.,,,,,,
SB,sb-qui2-b13,B.13,Ácidos y bases fuertes y débiles. Grado de disociación en disolución acuosa.,,,,,,
SB,sb-qui2-b14,B.14,pH de disoluciones ácidas y básicas. Expresión de las constantes Ka y Kb.,,,,,,
SB,sb-qui2-b15,B.15,Concepto de pares ácido y base conjugados. Carácter ácido o básico de disoluciones en las que se produce la hidrólisis de una sal.,,,,,,
SB,sb-qui2-b16,B.16,Reacciones entre ácidos y bases. Concepto de neutralización. Volumetrías ácido-base.,,,,,,
SB,sb-qui2-b17,B.17,"Ácidos y bases relevantes a nivel industrial (especialmente en la industria asturiana) y de consumo, con especial incidencia en el proceso de la conservación del medioambiente.",,,,,,
SB,sb-qui2-b18,B.18,Estado de oxidación. Especies que se reducen u oxidan en una reacción a partir de la variación de su número de oxidación.,,,,,,
SB,sb-qui2-b19,B.19,Método del ion-electrón para ajustar ecuaciones químicas de oxidaciónreducción. Cálculos estequiométricos y volumetrías redox.,,,,,,
SB,sb-qui2-b20,B.20,Potencial estándar de un par redox. Espontaneidad de procesos químicos y electroquímicos que impliquen a dos pares redox.,,,,,,
SB,sb-qui2-b21,B.21,Leyes de Faraday: cantidad de carga eléctrica y las cantidades de sustancia en un proceso electroquímico. Cálculos estequiométricos en cubas electrolíticas.,,,,,,
SB,sb-qui2-b22,B.22,"Reacciones de oxidación y reducción en la fabricación y funcionamiento de baterías eléctricas, celdas electrolíticas (como la obtención de zinc en el Principado de Asturias) y pilas de combustible, así como en la prevención de la corrosión de metales.",,,,,,
SB,sb-qui2-b23,B.23,Fórmulas moleculares y desarrolladas de compuestos orgánicos. Diferentes tipos de isomería estructural.,,,,,,
SB,sb-qui2-b24,B.24,Modelos moleculares o técnicas de representación 3D de moléculas. Isómeros espaciales de un compuesto y sus propiedades.,,,,,,
SB,sb-qui2-b25,B.25,Principales propiedades químicas de las distintas funciones orgánicas. Comportamiento en disolución o en reacciones químicas.,,,,,,
SB,sb-qui2-b26,B.26,Principales tipos de reacciones orgánicas. Productos de la reacción entre compuestos orgánicos y las correspondientes ecuaciones químicas.,,,,,,
SB,sb-qui2-b27,B.27,Proceso de formación de los polímeros a partir de sus correspondientes monómeros. Estructura y propiedades.,,,,,,
SB,sb-qui2-b28,B.28,"Clasificación de los polímeros según su naturaleza, estructura y composición. Aplicaciones, propiedades y riesgos medioambientales asociados.",,,,,,
BB,bb-qui2-a,A,Enlace químico y estructura de la materia,,,,,,
BB,bb-qui2-b,B,Reacciones químicas,,,,,,
